skill_name,skill_id_before,skill_id_after,subcategory_before,subcategory_after
Adaptability,skill_mental_adaptability,skill_adventure_adaptability,Adventure,Exploration
Adventure,skill_physical_adventure,skill_adventure_adventure,Adventure,Foundations
Adventure Mindset,skill_mental_adventure_mindset,skill_adventure_adventure_mindset,Adventure,Exploration
Adventure Safety,skill_physical_adventure_safety,skill_adventure_adventure_safety,Adventure,Adventure Safety
Camping,skill_physical_camping,skill_adventure_camping,Adventure,Outdoor Recreation
Challenge Seeking,skill_mental_challenge_seeking,skill_adventure_challenge_seeking,Adventure,Exploration
Climbing,skill_physical_climbing,skill_adventure_climbing,Adventure,Outdoor Recreation
Courage,skill_mental_courage,skill_adventure_courage,Adventure,Exploration
Cross-Cultural Communication,skill_social_cross_cultural_communication,skill_adventure_cross_cultural_communication,Adventure,Travel
Cultural Exploration,skill_social_cultural_exploration,skill_adventure_cultural_exploration,Adventure,Travel
Curiosity,skill_mental_curiosity,skill_adventure_curiosity,Adventure,Exploration
Cycling,skill_physical_cycling,skill_adventure_cycling,Adventure,Outdoor Recreation
Emergency Preparedness,skill_physical_emergency_preparedness,skill_adventure_emergency_preparedness,Adventure,Adventure Safety
Environmental Awareness,skill_mental_environmental_awareness,skill_adventure_environmental_awareness,Adventure,Adventure Safety
Expedition Leadership,skill_social_expedition_leadership,skill_adventure_expedition_leadership,Adventure,Outdoor Leadership
Expedition Logistics,skill_mental_expedition_logistics,skill_adventure_expedition_logistics,Adventure,Travel
Expedition Planning,skill_mental_expedition_planning,skill_adventure_expedition_planning,Adventure,Travel
Experience Seeking,skill_mental_experience_seeking,skill_adventure_experience_seeking,Adventure,Exploration
Exploration,skill_mental_exploration,skill_adventure_exploration,Adventure,Exploration
Exploration Ethics,skill_mental_exploration_ethics,skill_adventure_exploration_ethics,Adventure,Exploration
Exploration Planning,skill_mental_exploration_planning,skill_adventure_exploration_planning,Adventure,Exploration
First Aid,skill_physical_first_aid,skill_adventure_first_aid,Adventure,Adventure Safety
Foraging,skill_mental_foraging,skill_adventure_foraging,Adventure,Outdoor Recreation
Group Travel,skill_social_group_travel,skill_adventure_group_travel,Adventure,Travel
Hiking,skill_physical_hiking,skill_adventure_hiking,Adventure,Outdoor Recreation
Leave No Trace Ethics,skill_mental_leave_no_trace_ethics,skill_adventure_leave_no_trace_ethics,Adventure,Outdoor Recreation
Nature Connection,skill_mental_nature_connection,skill_adventure_nature_connection,Adventure,Outdoor Recreation
Novelty Seeking,skill_mental_novelty_seeking,skill_adventure_novelty_seeking,Adventure,Exploration
Outdoor Communication,skill_social_outdoor_communication,skill_adventure_outdoor_communication,Adventure,Outdoor Leadership
Outdoor Cooking,skill_creative_outdoor_cooking,skill_adventure_outdoor_cooking,Adventure,Outdoor Recreation
Outdoor Leadership,skill_social_outdoor_leadership,skill_adventure_outdoor_leadership,Adventure,Outdoor Leadership
Outdoor Problem Solving,skill_mental_outdoor_problem_solving,skill_adventure_outdoor_problem_solving,Adventure,Adventure Safety
Outdoor Recreation,skill_physical_outdoor_recreation,skill_adventure_outdoor_recreation,Adventure,Outdoor Recreation
Playfulness,skill_mental_playfulness,skill_adventure_playfulness,Adventure,Exploration
Resourcefulness,skill_mental_resourcefulness,skill_adventure_resourcefulness,Adventure,Exploration
Risk Awareness,skill_mental_risk_awareness,skill_adventure_risk_awareness,Adventure,Adventure Safety
Risk Calibration,skill_mental_risk_calibration,skill_adventure_risk_calibration,Adventure,Adventure Safety
Running,skill_physical_running,skill_adventure_running,Adventure,Outdoor Recreation
Self-Reliance,skill_mental_self_reliance,skill_adventure_self_reliance,Adventure,Exploration
Self-Rescue,skill_physical_self_rescue,skill_adventure_self_rescue,Adventure,Adventure Safety
Situational Awareness,skill_mental_situational_awareness,skill_adventure_situational_awareness,Adventure,Adventure Safety
Spontaneity,skill_mental_spontaneity,skill_adventure_spontaneity,Adventure,Exploration
Survival Skills,skill_physical_survival_skills,skill_adventure_survival_skills,Adventure,Adventure Safety
Swimming,skill_physical_swimming,skill_adventure_swimming,Adventure,Outdoor Recreation
Travel,skill_social_travel,skill_adventure_travel,Adventure,Travel
Travel Adaptation,skill_mental_travel_adaptation,skill_adventure_travel_adaptation,Adventure,Travel
Travel Budgeting,skill_mental_travel_budgeting,skill_adventure_travel_budgeting,Adventure,Travel
Travel Logistics,skill_mental_travel_logistics,skill_adventure_travel_logistics,Adventure,Travel
Travel Planning,skill_mental_travel_planning,skill_adventure_travel_planning,Adventure,Travel
Travel Safety,skill_social_travel_safety,skill_adventure_travel_safety,Adventure,Travel
Trekking,skill_physical_trekking,skill_adventure_trekking,Adventure,Outdoor Recreation
Water Safety,skill_physical_water_safety,skill_adventure_water_safety,Adventure,Adventure Safety
Wayfinding,skill_mental_wayfinding,skill_adventure_wayfinding,Adventure,Exploration
Weather Awareness,skill_mental_weather_awareness,skill_adventure_weather_awareness,Adventure,Adventure Safety
